a	13623_14111_000019	7.34	7.48
ab	3079_2449_000058	6.68	7.198
abashed	2160_1682_000019	11.64	12.06
abate	11021_11054_000000	9.9	10.24
abbess	5933_4854_000130	6.72	7.04
abbey	9086_9962_000006	15.42	15.78
abbot	9973_9604_000146	3.92	4.24
abbott	13493_13739_000025	7.06	7.48
abduct	9984_6221_001491	4.34	4.8
abdul	6920_4817_000006	8.66	9.06
abetted	4090_3326_000398	8.92	9.22
abi	4034_9642_000634	5.04	5.4
abide	9089_8345_000067	4.82	5.16
abides	10509_10217_000001	2.24	3.0
abiding	8406_7691_000044	13.14	13.6
ability	12861_14514_000000	5.68	6.08
abject	10417_10063_000060	5.92	6.4
abjure	11502_12137_000154	13.86	14.32
able	10967_11000_000077	7.46	7.94
aboard	3274_2470_000003	2.34	2.68
abode	10552_10274_000123	5.9	6.28
abolish	11898_9719_000014	11.96	12.34
abominable	7881_7199_000008	9.63	10.48
abominably	6687_8543_000035	8.6	9.44
aboriginal	11178_11257_000012	4.64	5.16
abounded	4176_3413_000012	12.76	13.36
about	13274_13499_000033	11.0	11.28
above	13280_13724_000051	2.78	3.14
abraham	11004_11043_000121	7.24	7.66
abreast	7478_6641_000044	4.9	5.28
abridged	12058_12549_000373	12.84	13.6
abrogated	10464_10242_000157	4.64	5.44
abrupt	5538_3849_000331	11.66	12.12
abruptly	8902_8511_000012	3.0	3.44
absent	10333_10022_000037	2.8	3.14
absentee	8937_8638_000768	0.5	1.26
absently	11742_11967_000006	13.06	13.54
absolute	13490_14129_000127	2.1	2.48
absorbed	6127_10682_000085	14.76	15.16
absorbent	3925_5136_000050	1.0	1.54
abstain	11059_10907_000014	3.16	3.66
abstract	3465_4416_000118	8.7	9.3
abstractedly	12924_13152_000032	3.43	4.18
absurdities	9790_8417_000005	8.64	9.32
absurdity	12307_12628_000018	7.08	7.78
abu	4644_3585_000039	2.22	2.6
abundance	3958_3207_000019	4.08	4.58
abundant	6660_11540_001482	0.78	1.16
abundantly	2688_1437_000009	9.08	9.66
abuse	13243_13608_000102	4.64	5.08
abused	12583_14152_000018	3.92	4.34
abysmal	8336_7789_000000	1.28	1.78
abysses	12566_12645_000108	7.84	8.28
academy	11031_11000_000000	8.42	9.0
accede	7460_6951_000077	2.34	2.84
acceleration	5969_5198_000083	1.28	1.84
accents	4218_2641_000568	10.82	11.44
accept	11212_11781_000024	6.76	7.04
accepted	4733_2699_000043	5.2	5.58
accepts	11685_11868_000014	6.9	7.46
accession	6352_6320_000180	6.28	6.7
accessory	13592_14322_000019	3.22	3.7
accident	1963_1546_000065	2.5	2.92
accommodates	13227_13751_000010	7.12	7.92
accommodations	3411_5887_000116	1.98	2.64
accompanied	11051_11964_000045	4.02	4.52
accomplices	11398_11214_000006	9.82	10.46
accomplish	7424_8456_000499	7.74	8.38
accomplished	6098_5195_000093	9.98	10.48
accomplishing	6309_12252_000084	12.1	12.64
accomplishment	10731_9231_000039	3.82	4.44
accorded	12861_14514_000000	3.32	3.84
according	13344_13927_001020	2.74	3.32
accordingly	9413_9090_000049	9.98	10.46
account	8414_7893_000028	7.5	7.84
accounted	11742_11967_000006	4.74	5.64
accounts	10272_10141_000055	8.74	9.24
accumulate	13646_10805_000050	8.92	9.42
accumulated	11836_12052_000732	1.42	2.08
accumulates	13379_10805_000073	5.68	6.44
accumulation	6981_6293_001123	13.67	14.32
accurate	4748_4063_000065	8.76	9.34
accurately	107_12321_002898	3.18	3.74
accursed	2846_2257_000042	6.36	6.72
accusation	6804_5939_000147	8.36	9.0
accused	2206_1696_000004	4.22	4.54
accusing	5715_4805_000037	12.16	12.7
ache	10378_11168_000003	4.34	4.7
achieve	8684_8179_000480	13.28	13.72
achieved	4779_9068_000111	4.04	4.58
achievement	11952_12115_000041	1.94	2.52
achievements	9888_9184_000075	15.66	16.18
aching	8512_7910_000000	12.4	12.86
acid	9921_12419_000195	3.16	3.66
acknowledge	1355_4491_000089	1.86	2.26
acknowledged	5463_4471_000285	2.04	2.5
acknowledgments	11260_11818_000015	3.26	4.0
acquaintance	12816_13098_000077	9.92	10.46
acquaintances	6574_5668_001496	1.24	1.9
acquainted	5060_3585_000473	2.22	2.6
acquiesced	12276_12446_000007	11.23	11.78
acquired	8388_7733_000066	8.62	9.0
acquires	8534_4861_000178	7.2	7.68
acquiring	5211_4325_000108	7.46	7.9
acquisition	12638_13032_000001	10.42	11.04
acquitted	3100_1933_000118	9.16	9.48
acre	11085_9514_000008	4.82	5.06
acres	11906_12358_000067	4.96	5.34
acrid	2676_1377_000046	6.56	7.18
act	12238_12576_000043	9.76	10.02
acted	5368_4459_000005	2.52	2.86
acting	5022_4107_000095	4.1	4.44
action	7474_6746_000004	0.84	1.44
actions	13880_14329_000004	1.88	2.18
active	11631_11815_000049	3.66	4.1
activity	7484_4492_000085	1.56	2.02
actor	9059_8799_000740	1.54	1.92
actors	9421_10063_000063	1.52	1.86
actress	10868_10781_000051	11.62	11.9
acts	3031_2470_000013	7.02	7.26
actual	1132_1440_000085	4.18	4.5
actually	12329_12957_000093	1.1	1.44
acutely	4744_9057_000037	3.04	3.48
ada	31_3157_000976	3.02	3.28
adamantine	13807_14742_000000	3.12	3.92
adams	3546_4244_002946	0.74	1.12
adaptation	9033_6735_000024	3.14	3.82
add	9301_8954_000018	8.26	8.42
added	12876_13432_000041	2.66	3.0
addition	5009_10917_000251	8.12	8.66
additional	6119_4597_000034	8.45	8.9
address	11592_11585_000038	5.8	6.14
addressed	9647_9856_000007	9.14	9.66
addresses	8070_7471_002327	5.8	6.26
adduce	3821_3301_000055	4.92	5.32
adela	6311_9276_000018	0.386	0.74
adelaide	3440_2709_000042	4.68	5.2
adept	2391_1440_000069	0.54	0.88
adequate	13481_14164_000076	8.2	8.58
adhered	4518_3988_000062	4.56	4.96
adherent	6184_5195_000077	2.66	3.18
adjective	11320_11534_000032	7.72	8.22
adjourn	8270_7632_000046	8.64	9.054
adjusted	6032_5123_000021	13.88	14.7
administered	12933_13740_000142	5.7	6.16
administration	7759_7093_000025	2.9	3.46
admirable	6349_5452_000001	10.74	11.3
admiral	75_2228_000037	10.38	10.9
admiralty	11908_12212_000010	9.18	9.84
admiration	6746_5737_000014	2.33	2.88
admire	2085_1592_000024	3.68	3.96
admired	10807_11853_000000	9.64	10.24
admires	6771_5893_000010	7.6	8.34
admiring	11431_11360_000017	3.72	4.32
admission	8629_6885_000034	15.04	15.5
admittance	12191_12133_001117	11.08	11.6
admitted	6705_6661_000781	13.3	13.64
admitting	9112_7716_000049	6.04	6.5
admonishing	8038_6838_000531	8.46	9.1
adobe	4799_3985_000076	6.04	6.36
adopt	11230_11214_000037	14.1	14.38
adopted	9996_9681_000118	11.84	12.2
adoring	5393_3762_000165	3.94	4.28
adorn	13340_14020_000008	10.8	11.2
adorned	8964_8345_000012	1.88	2.4
adrienne	12001_10639_000011	3.44	4.0
adrift	5784_4748_000017	5.5	5.98
adroitly	2411_1729_000077	1.14	1.8
advance	12945_13501_000025	7.8	8.16
advanced	6639_5750_000121	9.3	9.8
advances	8025_6137_000015	5.82	6.56
advantage	13384_13739_000128	7.74	8.3
advantageous	11049_8433_002402	3.33	4.18
advantages	12295_12723_000236	2.3	2.82
advent	3546_4244_002946	2.34	2.58
adventurers	13456_14129_000000	0.26	1.02
adventures	12952_13563_000194	14.64	15.1
adventurous	9405_8825_000029	3.16	3.56
adversaries	2526_1972_000352	7.94	8.64
adverse	4015_4684_000284	14.96	15.6
advisers	6733_6482_000060	2.4	2.98
advocates	5266_4311_000036	3.46	3.98
aegyptus	11467_11944_000151	6.635	7.48
aerial	11244_11288_000019	3.3	3.72
aeroplane	5506_5621_000367	6.324	6.974
afar	12928_13294_000027	14.16	14.46
afeared	11735_11971_000006	2.82	3.76
affably	13347_13739_000085	3.32	3.92
affair	10095_9797_000120	10.34	10.64
affairs	4174_9517_000040	11.56	12.02
affect	10784_10809_002543	2.16	2.42
affectation	13094_13789_000630	2.76	3.86
affected	32_4302_000001	1.86	2.28
affecting	9819_9617_003059	7.84	8.32
affection	7246_7213_000032	11.28	11.62
affectionate	5266_4311_000036	11.22	11.92
affectionately	13048_13249_000164	6.46	7.06
affections	3959_3225_000027	6.6	7.4
affects	13322_13941_000056	11.7	12.0
affirm	1469_2614_000041	10.6	11.08
affirmed	7035_5524_000021	7.64	8.16
afforded	9164_8543_000083	8.26	8.72
affrighted	8740_8308_000002	9.86	10.66
afghan	6061_4817_000000	9.52	10.28
afghanistan	6061_4817_000000	4.9	5.726
afraid	7682_6934_000032	10.54	10.94
afresh	10519_10240_000013	9.0	9.64
africa	4583_3699_000007	4.28	4.798
african	4556_3812_000058	12.34	13.342
aft	1743_1384_000273	7.2	7.66
after	8808_8556_000013	13.34	13.78
afternoons	11041_10729_000084	7.84	8.48
afterward	12239_12475_000074	0.86	1.58
afterwards	8808_8556_000013	13.34	13.78
again	5275_4331_000055	11.74	12.22
against	13858_14481_000048	5.36	5.94
age	6246_5921_000000	3.2	3.92
aged	10057_9771_000056	1.88	2.24
agencies	7121_6806_000118	1.9	2.6
agents	13880_14329_000004	2.46	2.8
ages	252_4104_000010	5.76	6.22
aggregate	3307_1446_000090	0.82	1.26
aggression	8582_8480_000000	6.72	7.16
aggressive	7961_3519_000417	11.94	12.26
aghast	8079_7457_000003	3.16	3.76
agin	6180_8547_000004	6.88	7.32
agitated	6341_5439_000060	8.78	9.34
aglow	4719_3978_000004	11.72	12.08
agnes	12724_13154_000019	7.5	7.94
ago	7932_7688_000105	5.24	5.66
agonies	9247_8750_000083	12.76	13.36
agony	6145_5066_000242	2.16	2.56
agree	6669_5359_000055	1.94	2.24
agreeable	5012_6036_000040	5.92	6.44
agreed	10191_10967_000748	1.66	2.26
agricola	5940_5023_000039	2.58	3.04
agricultural	4915_7401_000000	12.28	13.28
