a	12968_10625_000040	6.64	6.8
abandonnant	10082_9061_000289	1.19	1.94
abandonnent	10032_9061_000235	10.46	10.82
abandonnera	2316_1745_000063	0.64	1.34
abandonns	10058_9061_000068	10.21	10.72
abandonnèrent	5525_8734_000384	6.71	7.26
abandonné	12541_11650_000072	10.88	11.52
abandonnées	7439_2928_000034	10.69	11.24
abandonnés	6381_4703_000011	7.38	7.98
abattement	8778_8539_000563	14.06	14.7
abattit	4512_3103_000281	5.74	6.16
abattoir	1127_1745_000043	11.26	11.66
abattu	12899_13782_000682	1.36	2.04
abattue	6070_4703_000083	9.24	9.94
abattus	7193_2432_000004	3.88	4.38
abdul	2904_2928_000254	10.62	11.04
abhorre	1590_2606_000019	11.84	12.51
abhorré	6070_4703_000019	7.22	7.76
aboiements	7423_6767_001047	0.7	1.34
aboli	9854_9061_000078	17.02	17.36
abolit	6856_5508_000036	1.58	2.34
abominable	9804_10527_000002	4.42	5.12
abominations	5525_8734_000222	14.4	15.08
abondaient	3204_5508_000005	4.68	5.406
abondamment	6249_11031_001863	10.9	11.88
abondance	123_1028_001203	5.18	5.66
abondante	11875_11650_000131	17.365	17.82
abondantes	7239_2432_000052	8.966	9.566
abonde	11875_11650_000152	4.68	5.0
abondent	10827_14185_000013	0.42	1.02
abondèrent	3060_2660_003064	7.44	8.44
aborda	10620_9961_000007	9.96	10.38
abordables	10058_9061_000028	1.78	2.36
abordant	78_1028_000005	0.7	1.32
aborder	1745_1167_000011	9.02	9.44
abords	125_486_000007	5.18	5.54
aboutissait	10058_9061_000011	1.14	1.68
aboyant	12501_14588_000046	8.44	8.78
aboyer	12709_14588_000017	16.32	16.9
abritée	9242_8978_002911	16.78	17.36
abrogé	123_4313_000253	5.76	6.28
abrupt	1474_2209_000805	8.68	9.14
abrupts	7239_2432_000162	2.24	2.846
abruti	3204_2798_000171	3.64	4.22
abréger	7423_4991_000018	3.02	3.72
abrégé	10065_10039_000431	2.46	3.0
abrégés	10065_10039_000431	8.22	8.96
absent	6381_4703_000009	10.2	10.7
absolu	6070_5508_000264	2.34	3.006
absolument	66_486_000031	8.46	8.96
absolutistes	1840_3660_003185	16.14	17.12
absorbent	5525_8734_000320	14.86	15.5
absorbé	2776_2432_000235	8.52	9.182
abstrait	12713_11650_000137	10.08	10.58
absurde	2316_1745_000021	5.816	6.366
absurdes	5764_1745_000002	7.46	8.126
abusent	9242_9587_000510	8.92	9.38
abuseraient	1579_1028_000002	7.55	8.4
abusez	3060_2660_002810	6.7	7.16
abusés	7193_2432_000023	3.02	3.5
abîme	1243_974_000439	5.48	5.8
ac	8778_8539_000281	1.28	1.534
acc	10058_9061_000014	11.86	12.08
accablante	7679_6742_000015	12.32	13.06
accablé	6381_4703_000023	7.96	8.3
accapare	8102_7678_000342	8.14	9.04
accents	1989_2928_000004	10.92	11.32
acceptation	6856_5508_000031	11.81	12.46
accepte	2316_1745_000006	3.46	3.86
acceptent	5021_3078_000017	2.72	3.3
accepter	11822_11650_000038	1.96	2.4
acception	2904_2928_000327	13.26	13.84
accepté	6249_11031_000002	3.78	4.34
acceptée	6856_5508_000027	2.42	3.04
acceptés	1840_8323_000032	2.8	3.44
accessible	1474_2209_000400	7.44	7.96
accident	6856_5508_000038	2.72	3.22
accidentel	7239_2432_000043	11.78	12.38
accidenté	1840_2830_004210	8.4	9.2
accommodée	7614_7016_000008	7.995	8.6
accompagna	5764_7678_000003	12.42	13.02
accompagne	10065_10545_000115	9.18	9.92
accompagnée	8102_7678_000043	5.48	5.94
accompagnés	7377_5508_000228	1.28	1.88
accompli	12713_10527_000077	7.24	7.96
