a	8659_7958_000096	4.24	4.56
aarstein	2234_3469_000230	1.44	2.08
aas	2314_1599_000032	8.52	8.88
ab	2034_1599_000041	9.34	9.52
abb	5753_12234_000361	10.82	11.1
abbate	1897_2086_000013	10.4	10.88
abbrennen	5753_10524_000980	4.06	4.6
abbricht	2677_2124_000687	10.08	10.6
abderiten	2422_3048_004825	0.7	1.72
abderitischen	2422_3048_004825	11.24	12.72
abdringen	4536_7810_006853	5.86	6.62
abendglanz	9706_12836_000009	5.91	6.76
abendlichen	5405_6660_000329	10.14	10.58
abendlied	12899_4021_000910	6.02	6.78
abendrot	7449_6814_000000	0.48	1.02
abendroth	2506_2130_000044	2.62	3.44
abends	5406_3957_000036	11.14	11.74
abendschein	13726_14339_000022	7.12	7.82
abendsonnenschein	3698_2982_000000	7.4	8.51
abendwind	8294_11990_000002	3.62	4.46
abenteuer	8294_10388_000028	11.42	12.12
abenteuerlichem	3330_2130_000033	3.27	4.22
abenteuerlicher	3990_5102_000330	7.2	8.42
aber	2732_2130_000047	9.02	9.3
aberglauben	5405_6660_000041	9.56	10.14
aberglaubens	11328_11184_000003	1.34	2.1
aberhundert	11772_12264_000005	11.24	12.26
abermals	2497_719_000557	1.84	2.38
abfiel	4650_3619_000069	7.78	8.36
abfällen	1649_4118_000017	3.4	3.96
abgeben	10087_8747_000192	4.8	5.26
abgebildet	11927_12408_000953	3.4	4.26
abgebrochenen	589_1692_000269	4.51	5.26
abgedruckt	1998_3580_000144	5.28	6.014
abgehalten	7328_6902_000020	3.98	4.62
abgeholt	7906_6660_000120	6.82	7.32
abgelassen	5283_4428_002088	13.2	13.94
abgelebte	3797_3107_000316	7.76	8.84
abgelegt	4650_3619_000092	17.38	18.43
abgemüht	8675_8745_000004	11.6	12.18
abgeneigt	4533_3792_000646	2.7	3.38
abgesandten	2422_4652_000046	12.8	14.0
abgeschieden	287_539_000039	14.32	15.12
abgeschlagen	1998_2124_000001	3.42	4.02
abgesehen	7479_6660_000197	13.12	13.62
abgespannt	2602_2620_000208	6.18	6.92
abgespielt	2602_5114_000354	11.07	11.82
abgesucht	7328_6849_000293	14.402	15.102
