a	10900_6473_002134	10.84	11.52
aa	6892_10615_000136	11.86	12.1
ab	7014_6834_004206	11.5	12.0
abo	7014_6288_000139	0.4	0.66
abraham	7014_6254_000066	0.6	1.04
aby	7014_6834_000458	14.78	15.1
abym	10900_6473_001117	10.0	10.56
abyś	7014_6834_004644	13.58	13.94
abyśmy	7014_6834_003392	11.8	12.52
ac	7014_6834_004206	12.62	12.96
ach	7014_6834_003648	12.52	13.26
aczkolwiek	7014_6834_002138	4.96	5.68
ada	10900_6473_001238	11.96	12.52
adeli	3283_1447_000010	6.54	6.92
adept	7014_6834_004768	5.04	5.52
adjutant	6892_8764_000873	6.14	6.74
adjutantów	7014_6288_000336	12.12	12.98
admirałem	7014_6834_004233	8.36	9.1
adres	6439_5541_000101	4.0	4.38
adwokatem	6892_8912_002322	7.4	8.04
ady	10900_6473_001763	7.24	7.64
adę	10900_6473_000851	17.12	17.54
aestuum	10900_6473_001064	7.74	8.74
aferzysta	6892_8764_001808	10.3	10.92
afrykanie	7014_6834_003007	12.09	13.14
agudezie	7014_6834_000653	1.72	2.4
ah	7014_6254_000025	17.62	17.98
ajent	6892_8764_001907	5.38	5.88
ajentów	6892_8764_001220	9.72	10.34
aka	6892_10462_000827	3.52	3.98
akacyj	6892_10615_000199	8.6	9.2
akby	6892_10462_000298	7.86	8.12
aki	6892_10462_000004	12.38	12.62
akich	6892_10462_000096	2.22	2.52
akim	6892_10462_000525	9.48	9.7
akiś	6892_10462_000959	5.6	5.9
aksamitem	7014_6834_004595	5.52	6.14
aksamitu	7014_6834_002931	1.82	2.54
akumulatorów	10900_6473_000328	3.8	4.52
akże	6892_10462_000779	0.74	1.04
albo	6892_8764_000748	14.48	14.78
albowiem	7014_6834_002498	0.76	1.26
alby	7014_6288_000321	6.12	6.58
albę	7014_6834_004785	4.96	5.28
alcornoques	7014_6834_002495	4.48	5.22
ale	10900_6473_000300	12.8	13.18
alech	7014_6288_000264	8.66	9.36
alego	7014_6834_001681	11.84	12.38
aleja	6439_5541_000059	1.76	2.14
alejach	6892_8764_001617	0.514	0.98
aleksander	10900_6473_001109	3.5	4.22
alexandryi	7014_6834_003639	9.84	10.58
algebraiczne	7014_6834_001220	3.2	4.26
algesiras	7014_6834_000972	13.52	14.2
alikantu	7014_6834_000865	6.82	7.52
allah	7014_6834_002336	3.96	5.1
allegoryczną	7014_6834_003188	11.66	12.67
almeth	7014_6834_002490	0.578	1.18
alpach	6892_8764_000066	3.02	3.518
alpejski	7014_6834_001534	8.42	9.18
altanką	6892_8912_001959	9.54	10.16
amatorowie	6892_8764_000018	5.02	5.64
ambitny	6439_5541_000190	10.92	11.68
ambitnym	6439_5541_000132	17.7	18.2
amen	6892_8912_001980	7.44	7.68
ameryce	7014_6834_002098	11.84	12.32
amerykanin	7014_6834_004585	10.48	11.18
amerykańskiego	10900_6473_001857	9.88	10.74
amfiteatru	6892_8912_001310	4.16	4.82
amon	6892_10674_001784	10.2	10.58
amonie	6892_10674_001917	1.3	1.84
analiza	4228_1447_000009	7.3	8.0
analizę	7014_6834_001890	14.48	14.98
andaluzyi	7014_6834_004393	3.82	4.48
andegaweński	7014_6834_003560	11.82	12.66
angielska	6892_8764_000826	8.62	9.16
angielsku	10900_6473_001816	16.88	17.58
anglii	6439_5541_000110	10.6	11.24
anguilar	7014_6834_004645	12.14	12.7
ani	4228_1447_000009	3.72	4.62
anioła	10900_6473_001779	16.34	16.76
aniżeli	6892_9500_001513	14.42	14.88
anonimowy	4228_1447_000028	13.8	14.8
antoni	6892_8338_000042	13.76	14.32
antonia	7014_6834_002536	6.32	6.82
anyżówki	6892_8764_000173	11.84	12.56
apartament	6892_8764_000377	10.6	11.5
apeninu	10900_6473_001595	15.68	16.28
apetytu	6892_8912_000682	4.02	4.48
apollonius	7014_6834_004239	12.38	13.14
aptece	6892_10462_000161	7.56	8.16
arabesek	3553_1447_000005	8.72	9.46
arabowie	7014_6834_002084	0.578	1.1
arabskich	6892_10674_002021	1.2	1.66
arabsku	7014_6834_004386	3.66	4.32
araby	7014_6834_002477	10.26	10.72
arabów	7014_6834_002332	14.06	14.68
aram	6892_10674_000781	1.94	2.42
archimedesa	10900_6473_002248	9.49	10.34
arcybiskup	7014_6834_002052	1.28	2.08
arcybiskupa	7014_6834_002052	1.28	2.08
arcydzieło	6892_6161_000064	14.18	14.8
arcykapłan	6892_10920_000349	7.24	7.94
arka	10900_6473_002146	5.02	5.42
arkana	7014_6288_000508	6.74	7.14
armat	7014_6254_000438	5.88	6.38
armatę	10900_6473_001317	9.76	10.44
armji	7014_6834_003376	11.28	11.82
armję	6892_10674_001023	12.5	13.0
aroganckim	6892_8764_000449	12.54	13.12
artykule	6439_5541_000234	6.1	6.62
artykułem	6439_5541_000057	4.8	5.38
artyści	6892_8912_001524	15.6	16.18
arę	6892_8660_000090	9.92	10.12
asarhadonie	6892_10615_001232	7.8	8.52
astoreth	6892_10674_001222	12.72	13.44
astorgas	7014_6834_002032	11.98	12.66
astronomii	6892_10462_000389	8.58	9.26
asyrja	6892_10674_001867	11.18	11.64
asyrji	6892_10615_001178	13.3	13.92
asyryjczycy	6892_10674_000107	0.56	1.26
asyryjczyków	6892_10674_001023	7.96	8.74
atakiem	10900_6473_000633	6.4	6.878
ataku	10900_6473_001050	7.54	7.84
atawizmu	6439_5541_000068	7.52	8.42
atce	6892_10462_000931	7.6	8.16
ateusza	7014_6834_000559	13.36	14.04
atmosfera	10900_6473_001759	5.26	5.72
atmosferze	10900_6473_001620	3.62	4.12
atramentem	6439_5541_000101	14.94	15.8
atramentów	7014_6834_001503	3.12	3.94
atuty	7014_6288_000472	8.8	9.16
audytorium	1329_1447_000014	11.84	12.98
augusta	7014_6834_004869	15.0	15.66
augustyanów	7014_6834_004624	8.08	9.04
austryackiego	7014_6834_001572	13.2	14.0
austryackiej	7014_6834_003035	9.14	10.12
automat	6892_9500_001442	7.54	8.08
autor	6892_10462_000931	9.66	10.08
autorem	6439_5541_000068	3.44	4.1
avadoro	7014_6834_004052	11.14	12.02
avarito	7014_6834_004375	0.84	1.44
avila	7014_6834_001989	10.02	10.48
avilów	7014_6834_002008	2.26	2.8
awanturnik	7014_6834_003066	1.7	2.46
awanturników	6892_10674_001369	10.04	10.9
awi	6892_10462_000819	6.12	6.48
az	7014_6288_000440	11.7	12.04
aze	7014_6288_000627	11.26	11.48
azja	10900_6473_001830	14.14	15.02
azjaci	6892_10674_001549	11.64	12.44
azji	6892_10674_001268	1.38	1.84
azyi	7014_6834_001012	2.42	2.8
ał	6892_8660_000024	1.12	1.6
aż	10900_6473_000520	15.74	15.9
ażeby	6892_10920_001467	10.66	11.3
ażebyśmy	6892_9500_001860	1.64	1.94
b	6892_8660_000064	12.72	13.3
ba	7014_6288_000216	9.38	9.72
baba	6892_9500_001044	8.34	8.6
babami	7014_6288_000264	6.86	7.26
babce	6892_8912_000694	7.56	7.9
babie	7014_6288_000188	16.26	16.68
babki	1636_1447_000010	1.68	2.12
babkę	6892_8912_000885	10.02	10.36
bacznie	10900_6473_001462	10.56	10.98
baczniej	10900_6473_000215	5.4	5.88
baczność	6892_10462_000166	10.48	11.34
baczył	7014_6288_000313	10.02	10.38
bacząc	7014_6288_000589	2.96	3.42
badającej	6892_10920_000647	7.02	7.6
badania	6439_5541_000049	1.48	1.94
badanie	6439_5541_000062	7.7	8.18
badaniu	6892_10674_000747	9.64	9.96
baduli	7014_6834_001088	15.62	16.14
bajań	10900_6473_001742	5.36	5.95
bajeczne	10900_6473_000383	17.64	18.32
bajki	10900_6473_000136	15.02	15.62
bale	7014_6834_002970	16.74	17.06
balet	7014_6834_000034	3.38	4.0
balkon	7014_6834_002789	1.0	1.58
balonem	6892_8912_000576	8.36	8.94
banany	7014_6834_002898	9.4	9.82
banda	6892_10920_000535	13.08	13.38
banditu	7014_6834_003238	1.48	1.96
bankrut	6892_9500_001522	2.0	2.58
barany	7014_6288_000302	6.4	6.9
barbarzyńcy	6892_10674_000893	4.62	5.38
barbarzyńskich	6892_10674_000048	3.68	4.38
barcelony	7014_6834_003867	11.12	11.84
bardeta	6892_8912_001388	4.4	4.76
bardzie	6892_10462_000781	16.06	16.44
bardziej	7014_6834_003322	3.98	4.34
bardzo	10900_6473_001036	4.1	4.48
barometr	10900_6473_001809	6.66	7.32
baroneta	6892_5541_000153	6.9	7.44
baronie	6892_8764_001582	9.62	9.98
baronowa	6892_8764_000896	3.1	3.52
baronowej	6892_9500_000731	13.92	14.52
baronowi	6892_8764_001587	7.78	8.26
baronowę	6892_9500_001781	11.76	12.32
barrymore	6439_5541_000032	11.94	12.66
barwne	10900_6473_000892	6.92	7.34
barwy	7014_6834_000497	7.4	7.76
bary	1636_1447_000032	1.44	1.78
basem	7014_6288_000077	6.08	6.42
basenie	10900_6473_000193	0.0	0.04
basenu	10900_6473_002040	6.44	6.8
baskervillów	6439_5541_000122	8.56	9.34
bastylli	6892_8912_001038	6.42	7.02
baw	6892_8660_000021	6.98	7.16
bawi	6892_8764_000748	1.66	1.9
bawiliśmy	7014_6834_000652	0.9	1.44
bawiła	6892_10462_000597	2.82	3.32
bawiło	7014_6834_001853	3.42	3.98
bał	10900_6473_001072	4.4	4.66
bałwanów	10900_6473_002167	5.32	6.046
baśni	6439_5541_000004	3.02	3.56
baśniom	6439_5541_000140	6.44	7.038
beata	7014_6834_002109	1.26	1.74
beaty	7014_6834_000565	9.3	9.88
beatą	7014_6834_001794	1.98	2.6
bedzie	7014_6288_000342	6.74	7.39
bedą	7014_6288_000379	3.92	4.56
belci	6892_8764_000883	13.66	14.06
belialu	7014_6834_000333	1.16	1.82
belle	7014_6288_000420	4.14	4.38
belu	6892_8912_001099	5.76	6.26
berła	6892_6745_000063	7.76	8.26
bez	3283_1447_000015	7.74	8.6
bezbożność	7014_6834_003689	4.04	4.94
bezbrzeżnej	10900_6473_002180	5.08	5.74
bezbrzeżny	10900_6473_000053	5.49	6.64
bezcelowe	10900_6473_000448	15.12	15.96
