a	10250_6390_000026	1.94	2.16
aa	5705_4811_000004	12.62	13.06
aasento	5705_4811_000003	13.08	13.54
abacateiros	5677_4807_000171	8.46	9.28
abacates	5677_4807_000104	0.61	1.3
abade	2961_3899_000192	8.52	9.06
abafadas	10107_12266_000146	2.04	2.8
abafado	9485_6390_000002	11.18	12.0
abafados	12249_12879_001620	10.26	11.06
abafando	12249_12879_002049	16.34	16.9
abaixou	12249_12879_000363	0.8	1.9
abalada	5677_4272_000190	12.08	12.66
abalançam	2961_8729_000289	15.74	16.38
abalançaremos	4367_4272_000359	11.16	11.84
abalaram	12249_12879_002095	8.76	9.6
abalava	12249_12765_000570	7.74	8.4
abalo	10107_12266_000033	2.08	2.58
abalou	12249_12879_001707	15.8	16.44
abandonadas	9485_6390_000006	11.6	12.4
abandonados	2961_3899_001133	14.26	15.24
abandonaste	10107_11436_000817	4.35	5.2
abandonavam	12249_12879_002104	19.01	19.96
abandonou	2961_3118_001058	3.64	4.1
abateffeis	2961_6361_000458	0.82	1.62
abatem	6601_5323_000008	11.92	12.42
abateram	5677_4807_000602	3.3	3.82
abatido	5677_4807_001420	0.7	1.24
abatidos	12249_12879_001829	12.84	13.98
abdicar	9351_6390_000082	3.54	3.96
abeiram	2961_3899_001855	4.98	5.502
abeiravam	12249_10229_000168	2.98	3.78
abençoada	2961_4629_000546	5.87	6.62
abençoadas	12249_12879_000611	1.08	2.26
abençoando	5677_4272_000143	2.93	3.58
abençoar	4367_4272_000439	1.88	2.44
abençoe	2961_7642_001873	9.84	10.46
abençôo	4367_4572_000252	3.48	4.28
aberrações	2961_3899_001114	13.62	14.14
abertas	10107_12266_000147	8.1	8.82
abertura	2961_3118_002001	3.2	3.7
abismo	2961_4629_001096	1.3	1.68
abismos	4367_3799_000222	5.84	6.48
ablegadas	2961_3899_001038	1.922	2.84
abnegação	9351_9280_000267	2.0	2.58
abnótico	2961_3899_001536	13.58	14.32
abobadada	9351_9163_000314	14.48	15.18
aboborado	2961_7642_002281	1.26	2.12
aboletada	4367_4739_000092	7.62	8.24
aboletados	12249_12879_000036	3.43	4.38
abolir	10107_6390_000114	2.82	3.2
abonança	10107_6390_000163	11.26	11.84
aborreceu	5677_4807_001328	2.3	2.82
aborreciam	2961_13488_000241	2.76	3.86
aborrecidas	4367_4739_000029	18.66	19.34
aborrecido	2961_13488_000686	1.18	1.92
abotoar	5677_4807_001652	9.22	9.64
abracem	9351_9018_000808	5.56	6.18
abranda	3718_2564_000003	11.64	12.28
abraçado	12249_12879_001678	9.5	10.18
abraçados	10107_12266_000248	8.5	9.34
abraçam	5103_4572_000000	10.38	10.78
abraço	9351_9280_000267	7.72	8.22
abraços	12249_12879_001869	11.72	12.34
abre	12249_10229_000527	12.24	12.68
abrem	12249_12742_000019	15.96	16.36
abreu	2961_3118_001402	4.42	5.18
abri	2961_7642_001222	1.0	1.3
abria	4367_4041_000065	5.48	5.8
abriam	10107_11436_000212	6.58	7.1
abrigal	12249_10229_000119	5.66	6.36
abrigava	12249_10229_000404	6.42	6.98
abrigo	9351_9018_001255	11.58	12.16
abrindo	5705_4744_000008	8.64	9.04
abrio	5677_4744_000058	3.28	3.6
abrir	2961_3702_001558	12.22	12.54
abririam	2961_6187_000115	7.02	7.44
abro	4367_3962_000031	3.62	4.18
abrolhavam	5677_4807_000033	5.86	6.5
abrupto	12249_12765_000020	8.74	9.38
abso	4367_4272_000503	1.2	1.96
absolvições	9351_9018_001303	17.3	17.94
absorventes	5677_4807_000169	4.8	5.54
absorvia	5677_4807_001105	5.78	6.18
absorção	10107_12563_001074	15.02	15.56
abstracção	12249_13511_000065	15.8	16.894
abstrato	2961_4629_001096	0.8	1.3
abstrusa	2961_3118_000428	8.72	9.34
absurda	2961_3118_000470	4.5	5.22
absurdo	2961_3702_001210	8.34	9.14
abundante	4367_3701_000021	4.97	5.62
abundantes	10107_11436_000784	4.18	4.94
abundavam	10107_6390_000651	0.54	1.18
abundância	12249_8708_000016	9.2	10.02
abusavam	12249_12879_000709	9.2	9.92
abusos	12249_12742_000051	2.72	3.38
abysmo	10107_6390_000624	2.98	3.582
abóbada	2961_3702_001095	8.74	9.28
acaba	9485_6390_000001	7.66	8.12
acabai	4000_2564_000003	15.14	16.54
acabam	9351_9163_000395	11.52	11.88
acabar	5677_4807_000068	3.6	3.92
acabarei	5677_4807_000830	16.74	17.31
acabaria	12249_12879_000213	0.7	1.44
acabará	5677_4272_000132	8.76	9.26
acabasse	9351_9280_000252	4.52	5.14
acabassem	2961_8363_000046	1.78	2.26
acabava	12249_12879_000226	2.28	3.04
acabavam	9351_9280_000148	6.1	6.68
acabou	9351_9280_000726	3.1	3.42
acabrunhado	10107_12563_000485	0.93	1.08
acabrunhadoramente	2961_8729_000385	9.122	10.46
acabámos	10107_6390_000160	11.04	11.6
acalentou	10107_11436_000004	17.28	17.9
acaloradamente	5677_4807_000484	12.43	13.18
acampado	2961_7642_002141	11.99	12.54
acampamento	2961_7642_000422	1.5	2.3
acampamentos	2961_3899_002193	13.24	14.046
acanhado	9351_9018_000206	1.3	1.9
acanhamento	9351_9280_000440	3.44	4.12
acariciando	12249_12879_000756	1.9	2.86
acariciar	2961_13987_000087	6.34	6.94
acarinhavam	12249_12879_000917	5.18	6.38
acaso	10107_12563_000442	8.1	8.54
acastellado	4367_4272_000228	14.56	15.34
acautele	9351_9018_000383	11.77	12.52
acceita	4367_4272_000627	7.78	8.414
acceitar	5677_4272_000136	7.86	8.36
accento	4367_4272_000350	7.96	8.4
accentuadas	9351_10229_000117	5.47	6.02
accessorios	12249_10229_000341	7.856	8.606
accidente	12249_10229_000305	13.86	14.52
accode	4367_4272_000087	2.28	3.0
accordava	2961_13842_000261	0.514	1.14
accordes	5677_4272_000088	6.52	7.22
accordo	12249_12742_000047	5.04	5.58
accrefcentou	2961_6361_000347	4.6	5.46
accrescentava	2961_13488_001697	16.68	17.38
accrescente	10199_6390_000015	2.2	2.76
accudir	4367_4272_000285	13.6	14.14
accufacáo	2961_6361_000134	6.8	7.48
accufado	2961_6361_000120	1.18	1.78
accusava	2961_8380_000958	8.86	9.3
accusação	10199_6390_000020	10.0	10.66
accêsas	12865_13396_000034	14.94	15.48
aceitado	9351_9280_000141	11.14	11.74
aceitaria	10107_12563_000442	17.8	18.32
aceitava	9351_9018_000057	19.22	19.82
aceitavam	12249_12879_002204	2.02	2.7
aceite	9351_9018_000383	6.08	6.46
aceitou	5677_4807_000225	8.44	8.82
acenando	9351_9280_001580	11.46	12.26
acenasse	10107_12563_000786	5.0	5.52
acenava	5888_4811_000015	8.0	8.32
acender	5677_4807_001031	8.26	8.6
acendera	9351_9018_000318	6.28	6.76
acendia	12249_12765_000064	1.22	1.74
aceno	2961_3118_000332	8.66	9.12
acenos	5677_4807_000687	3.16	3.66
acenou	2961_4272_000044	16.77	17.2
acentua	2961_3899_000188	14.12	14.74
aceommoda	7028_6390_000013	5.82	6.46
acercava	2961_14431_000024	12.3	12.76
acerta	6187_5270_000002	4.94	5.6
acertada	9351_9280_000846	18.86	19.36
acertado	5677_4272_000029	1.96	2.6
acertarão	6207_5270_000006	0.45	0.92
acesa	12249_12879_002006	5.4	5.88
acesas	12249_12879_000731	11.06	11.934
aceso	2961_4629_000174	2.0	2.6
acesso	2961_3058_000299	7.38	7.86
acessório	9351_9018_001346	15.57	16.22
acha	9351_9163_000345	16.76	17.08
achada	2961_4205_000245	17.42	17.92
achado	10107_11436_000498	11.12	11.678
achar	4367_4272_000192	11.88	12.22
achares	2961_3698_000097	4.54	4.9
achará	2961_3118_000604	1.3	1.64
achas	4367_3799_000252	8.36	8.7
achasse	2961_3058_000088	0.64	1.04
achava	10107_12563_000941	6.24	6.62
achavam	4367_4041_000035	2.26	2.68
achegavam	9351_10229_000089	11.2	11.8
achegou	12249_10229_000080	1.48	1.96
acho	3037_2564_000000	2.08	2.32
achou	12249_12879_001569	10.7	11.04
acidente	4000_2564_000004	2.46	3.134
acidentes	2961_3899_001742	15.1	15.88
acinte	2961_3680_000310	14.12	14.66
aclamado	12249_12879_001527	10.04	10.68
aclamava	10107_12563_001053	3.46	3.98
aclarar	10107_6390_000365	10.68	11.16
acodia	5888_4811_000003	0.52	0.9
acolchetar	2961_7087_000292	1.06	1.88
acolhera	4367_4041_000028	1.8	2.34
acomodados	9351_9280_000949	17.92	18.72
acomodou	10107_11436_000745	12.24	12.82
acompanhados	12249_12879_001435	7.05	8.3
acompanham	10107_11436_000315	11.22	11.902
acompanhando	2961_3899_001855	5.954	6.44
acompanhar	2961_3118_000847	5.42	6.1
acompanharia	2961_8380_000741	4.85	5.4
acompanhará	10107_11436_000110	5.28	6.08
acompanhava	5677_4807_000659	11.9	12.62
aconselhado	2961_3648_000082	14.32	14.84
aconselhou	12249_12879_000497	13.42	14.72
acontece	4367_4272_000285	10.7	11.36
acontecer	2961_8380_000769	3.3	3.96
acontecera	12249_12879_001367	15.1	15.84
acontecerá	2961_4205_000224	10.87	11.62
aconteceu	10199_6390_000012	2.66	3.16
acontecida	12249_12765_000271	5.34	6.24
acontecido	12249_12879_000684	16.68	17.54
acorda	12249_12879_001798	0.642	1.08
acordado	12249_12879_000750	8.48	9.24
acordando	12249_12765_000659	17.84	18.26
acordar	9351_9018_000867	1.98	2.44
acordaram	9958_6390_000000	1.7	2.46
acordariam	9351_9280_001747	7.28	7.88
acordava	12249_12879_000776	14.32	15.02
acordei	4367_3799_000314	3.36	3.86
acotovelarem	9351_9280_000949	16.34	17.14
acre	2961_8729_000272	12.75	14.1
acredita	4367_4272_000502	8.26	8.74
acreditam	10107_6390_000488	1.18	1.92
acreditamos	2961_3899_002369	5.075	6.34
acreditar	4367_4272_000502	8.26	8.74
acreditassem	12249_12765_000487	7.53	8.38
acreditava	9351_9163_000393	2.09	3.04
acredite	4367_4272_000015	3.22	3.86
acreditei	9351_9280_001879	6.64	7.32
acres	4367_3962_000064	8.56	8.86
acrescentar	10107_12563_000293	13.86	14.76
acrescentei	9351_9163_000425	5.92	6.686
acrescentou	12249_12879_000974	16.52	17.48
acréscimos	5677_4807_000874	3.66	4.26
activa	8680_6390_000016	5.666	6.366
activo	9351_10229_000050	2.7	3.32
actos	7028_6390_000005	8.06	8.76
actual	2961_13987_000066	13.28	13.74
acudia	12249_12765_000181	0.82	1.36
acudiram	13196_13511_000000	1.26	1.92
acudiu	12249_12879_000479	16.92	17.56
acumulavam	5677_4807_000004	16.9	17.54
acurado	10296_6390_000020	8.12	8.82
acusado	9351_9018_001332	7.14	7.6
acção	2961_8380_000958	9.52	9.84
acérrimo	2961_6361_000481	1.66	2.4
adaga	2961_14431_000185	6.5	6.92
adamastor	10107_12563_000209	3.18	3.86
addio	4367_3799_000133	13.42	14.82
adelaide	4367_3648_000016	15.68	16.16
ademais	2961_3899_002193	3.9	4.72
adeptos	2961_3899_001157	9.7	10.38
adequadas	5677_4807_001268	7.08	7.68
adereços	2961_3118_000118	16.48	16.9
adesviarse	10107_6390_000802	14.51	15.66
adiant	8680_6390_000000	3.4	3.92
adiantaria	5677_4807_001526	1.52	2.08
adiantava	12249_12879_000830	12.36	13.02
adiante	9351_9280_000899	3.92	4.44
adiaria	4367_3799_000011	5.14	5.7
adivinham	4367_3648_000050	13.5	14.12
adivinhando	9351_10229_000173	9.66	10.16
adivinhava	10107_12563_000246	1.08	1.68
adivinhe	2961_6187_000204	11.79	12.64
adivinhei	2961_3702_000893	2.06	2.52
adjectivo	2961_7087_000052	10.62	11.36
administrado	10296_6390_000025	1.08	1.82
administrativa	5677_4807_000929	3.68	4.58
administração	5677_4807_001038	14.11	14.66
administrou	10107_6390_000009	8.02	9.12
admirada	9351_9018_000883	13.58	14.14
admirado	10107_11436_000720	8.54	9.182
admirados	5677_4807_000289	5.6	6.3
admiradíssima	2961_4041_000004	9.62	10.82
admirar	4367_3799_000020	4.1	4.702
admirem	7028_6390_000014	0.48	1.1
admitira	5677_4807_001728	17.762	18.22
admitiu	12249_12879_002299	4.6	5.4
admito	4367_3648_000140	7.86	8.44
admittamos	4367_4272_000431	10.13	10.88
admoestação	2961_13488_001512	10.94	11.72
adoecera	2961_13488_001645	5.88	7.0
adoeci	5677_4807_000614	4.97	5.82
adolescente	5677_4807_000243	12.96	13.74
adolescências	2961_3702_000110	5.7	6.28
adoptou	2961_6361_000431	2.78	3.24
adorada	12249_12879_000490	19.14	19.74
adorado	4367_4572_000091	3.89	4.64
adorar	9351_9280_000949	4.32	4.64
adoraram	7028_5323_000014	8.175	8.86
adorava	12249_12879_000850	4.64	5.44
adormeceram	6601_5323_000005	14.722	15.42
adormeçamos	12249_10229_000449	0.5	1.34
adoro	12249_12879_001829	1.74	3.14
adoráveis	2961_7642_001340	14.32	15.06
adotando	2961_8729_000065	9.0	9.58
adotasse	9351_9018_000271	2.76	3.34
adoçando	2961_8380_000022	5.3	6.2
adoçar	12249_12879_000095	8.32	9.18
adquiri	4367_3799_000307	2.28	3.22
adquirida	2961_3118_001986	12.52	13.06
adquirido	12249_10229_000329	12.22	12.8
adquirira	5677_4807_001516	5.858	6.36
adquiriu	10296_6390_000012	14.14	14.64
adulavam	12249_12879_001678	1.08	2.0
adusta	2961_3765_000130	4.46	4.96
adustas	2961_3899_002012	6.26	6.84
aduzindo	5677_4807_000410	10.26	11.2
advento	10107_6390_000192	7.18	7.966
adversa	9351_9163_000183	4.14	4.8
adversário	10107_11436_000709	17.2	17.94
adversários	2961_3899_001580	6.4	7.18
advertiu	2961_8380_000125	1.0	1.54
advertência	9351_9163_000185	6.24	7.04
advinhara	2961_8380_000297	12.56	13.06
advirta	10107_12563_000014	10.9	11.44
adão	2961_13488_001649	12.14	12.54
adélia	2961_7642_000511	19.28	19.76
aerea	2961_5323_000004	13.06	13.54
afabilidade	2961_3118_000679	12.835	13.5
afagando	12249_12879_000419	3.97	4.92
afagos	5888_4811_000017	3.62	4.34
